,Adj Close,Close,Date,High,Low,Open,Volume,S&P 500 PE Ratio
11575,78.36,78.36,1975-02-10,79.4,77.77,0.0,16120000,9.509642857142858
11576,78.63,78.63,1975-02-07,79.12,77.0,0.0,19060000,9.446428571428571
11577,78.56,78.56,1975-02-06,80.72,78.09,0.0,32020000,9.425357142857143
11578,78.95,78.95,1975-02-05,79.4,76.81,0.0,25830000,9.404285714285715
11579,77.61,77.61,1975-02-04,78.37,76.0,0.0,25040000,9.383214285714287
11580,77.82,77.82,1975-02-03,78.55,76.36,0.0,25400000,9.362142857142857
11581,76.98,76.98,1975-01-31,77.72,75.41,0.0,24640000,9.287096774193548
11582,76.21,76.21,1975-01-30,78.69,75.82,0.0,29740000,9.254193548387097
11583,77.26,77.26,1975-01-29,78.03,75.23,0.0,27410000,9.221290322580646
11584,76.03,76.03,1975-01-28,77.59,75.36,0.0,31760000,9.188387096774195
11585,75.37,75.37,1975-01-27,76.03,73.76,0.0,32130000,9.155483870967743
11586,72.98,72.98,1975-01-24,73.57,71.55,0.0,20670000,9.056774193548387
11587,72.07,72.07,1975-01-23,73.11,71.09,0.0,17960000,9.023870967741935
11588,71.74,71.74,1975-01-22,71.97,69.86,0.0,15330000,8.990967741935485
11589,70.7,70.7,1975-01-21,72.04,70.25,0.0,14780000,8.958064516129033
11590,71.08,71.08,1975-01-20,71.46,69.8,0.0,13450000,8.925161290322581
11591,70.96,70.96,1975-01-17,72.36,70.56,0.0,14260000,8.826451612903226
11592,72.05,72.05,1975-01-16,72.93,71.26,0.0,17110000,8.793548387096775
11593,72.14,72.14,1975-01-15,72.77,70.45,0.0,16580000,8.760645161290324
11594,71.68,71.68,1975-01-14,72.7,71.02,0.0,16610000,8.727741935483872
11595,72.31,72.31,1975-01-13,73.81,71.83,0.0,19780000,8.69483870967742
11596,72.61,72.61,1975-01-10,73.75,71.6,0.0,25890000,8.596129032258066
11597,71.17,71.17,1975-01-09,71.42,69.04,0.0,16340000,8.563225806451614
11598,70.04,70.04,1975-01-08,71.53,69.65,0.0,15600000,8.530322580645162
11599,71.02,71.02,1975-01-07,71.75,69.92,0.0,14890000,8.49741935483871
11600,71.07,71.07,1975-01-06,72.24,70.33,0.0,17550000,8.464516129032258
11601,70.71,70.71,1975-01-03,71.64,69.29,0.0,15270000,8.365806451612904
11602,70.23,70.23,1975-01-02,70.92,68.65,0.0,14800000,8.332903225806453
11603,68.56,68.56,1974-12-31,69.04,67.15,0.0,20970000,8.275483870967742
11604,67.16,67.16,1974-12-30,67.65,66.23,0.0,18520000,8.250967741935485
11605,67.14,67.14,1974-12-27,67.99,66.49,0.0,13060000,8.17741935483871
11606,67.44,67.44,1974-12-26,68.19,66.62,0.0,11810000,8.152903225806453
11607,66.88,66.88,1974-12-24,67.25,65.86,0.0,9540000,8.103870967741937
