DAY,TOTAL BALANCE,STATUS
369,103485.66000000025,Bought 1 units for price $2984.42
370,100481.62000000026,Bought 1 units for price $3004.04
371,97467.32000000025,Bought 1 units for price $3014.3
372,94453.55000000025,Bought 1 units for price $3013.77
373,91453.64000000025,Bought 1 units for price $2999.91
374,88460.57000000024,Bought 1 units for price $2993.07
375,85480.94000000024,Bought 1 units for price $2979.63
376,82504.99000000024,Bought 1 units for price $2975.95
377,79514.58000000023,Bought 1 units for price $2990.41
378,76518.76000000023,Bought 1 units for price $2995.82
379,79491.77000000022,Sold 1 units for price $2973.01 and investment $-0.7613942092649073
380,82456.10000000022,Sold 1 units for price $2964.33 and investment $-1.0511312428650665
381,85397.86000000022,Sold 1 units for price $2941.76 and investment $-1.8045142899106068
382,88322.78000000022,Sold 1 units for price $2924.92 and investment $-2.366630838968966
383,91236.56000000022,Sold 1 units for price $2913.78 and investment $-2.738482285317541
384,88319.18000000021,Bought 1 units for price $2917.38
385,91264.53000000022,Sold 1 units for price $2945.35 and investment $0.9587369489062034
386,88314.07000000021,Bought 1 units for price $2950.46
387,91268.2500000002,Sold 1 units for price $2954.18 and investment $0.12608203466577414
388,94194.71000000021,Sold 1 units for price $2926.46 and investment $-0.8134324817147157
389,97112.46000000021,Sold 1 units for price $2917.75 and investment $-1.1086406865370158
390,100002.13000000021,Sold 1 units for price $2889.67 and investment $-2.0603566901432306
391,102889.1100000002,Sold 1 units for price $2886.98 and investment $-2.1515289141354232
392,105780.7500000002,Sold 1 units for price $2891.64 and investment $-1.993587440602488
393,108660.5900000002,Sold 1 units for price $2879.84 and investment $-2.393525077445547
394,105774.8700000002,Bought 1 units for price $2885.72
395,102888.1400000002,Bought 1 units for price $2886.73
396,105761.4800000002,Sold 1 units for price $2873.34 and investment $-0.4638466361592484
397,108604.9700000002,Sold 1 units for price $2843.49 and investment $-1.49788861445304
398,111431.1200000002,Sold 1 units for price $2826.15 and investment $-2.098568276215646
399,108627.8500000002,Bought 1 units for price $2803.27
400,105883.4000000002,Bought 1 units for price $2744.45
401,103131.3400000002,Bought 1 units for price $2752.06
402,100342.4800000002,Bought 1 units for price $2788.86
403,97559.4600000002,Bought 1 units for price $2783.02
404,100361.8500000002,Sold 1 units for price $2802.39 and investment $0.6960064965397263
405,97535.7900000002,Bought 1 units for price $2826.06
406,94713.55000000019,Bought 1 units for price $2822.24
407,91857.28000000019,Bought 1 units for price $2856.27
408,94721.64000000019,Sold 1 units for price $2864.36 and investment $0.28323652875954114
409,91881.41000000019,Bought 1 units for price $2840.23
410,89021.8800000002,Bought 1 units for price $2859.53
411,86145.56000000019,Bought 1 units for price $2876.32
412,83294.60000000018,Bought 1 units for price $2850.96
413,80460.19000000018,Bought 1 units for price $2834.41
414,77648.32000000018,Bought 1 units for price $2811.87
415,74766.92000000019,Bought 1 units for price $2881.4
416,71896.20000000019,Bought 1 units for price $2870.72
417,69016.78000000019,Bought 1 units for price $2879.42
418,66132.73000000019,Bought 1 units for price $2884.05
419,63200.260000000184,Bought 1 units for price $2932.47
420,60254.620000000185,Bought 1 units for price $2945.64
421,57337.10000000019,Bought 1 units for price $2917.52
422,54413.370000000185,Bought 1 units for price $2923.73
423,51467.54000000018,Bought 1 units for price $2945.83
424,48524.510000000184,Bought 1 units for price $2943.03
425,45584.63000000019,Bought 1 units for price $2939.88
426,42658.46000000019,Bought 1 units for price $2926.17
427,39731.21000000019,Bought 1 units for price $2927.25
428,36797.53000000019,Bought 1 units for price $2933.68
429,33889.56000000019,Bought 1 units for price $2907.97
430,30984.530000000188,Bought 1 units for price $2905.03
431,28084.080000000187,Bought 1 units for price $2900.45
432,25177.020000000186,Bought 1 units for price $2907.06
433,22271.440000000184,Bought 1 units for price $2905.58
434,19364.030000000184,Bought 1 units for price $2907.41
435,16475.710000000185,Bought 1 units for price $2888.32
436,13587.500000000186,Bought 1 units for price $2888.21
437,10709.300000000185,Bought 1 units for price $2878.2
438,7813.530000000184,Bought 1 units for price $2895.77
439,4920.790000000185,Bought 1 units for price $2892.74
440,2041.4000000001847,Bought 1.0 units for price $2879.39
